0,1,2,3,4,5,6,7,8,9,10,11,12
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-309 SENS,SENSE B2+T,B2+TB2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-6,AB1-608 SENS,SENSE B2+T,B2+TB2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-6,AB1-609 SENS,SENSE B2+T,B2+TB2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-7,AB1-702 SCE,SCE B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-401 SELE,SELECT B1+T,B1+TB1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-402 SELE,SELECT B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-406 SELE,SELECT B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-401 SELE,SELECT B2+T,B2+TB2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-402 SELE,SELECT B2+T,B2+TB2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 ADB-,ADB-702 VFIT,VFIT B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,"AB3-208 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,"AB3-209 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-2,"AB3-211 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-303 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-304 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-305 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBETHN",BETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-306 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-307 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-308 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBETHN",BETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-309 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBFACE",BFACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-3,"AB3-313 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-4,"AB3-403 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBETHN",BETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB3-4,"AB3-404 BAI, B","BAI, BPS, BRES1, +BTD","RES1, +BTDES1, BYBSIXPH",BSIXPHRASESIXPH,ESIXPHRASE(APT)
